Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NCarsGroup,NChildrenAtHomeGroup,TotalChildrenGroup,YearlyIncome,Age,AveMonthSpend,log_AveMonthSpend,BikeBuyer
Partial College,Clerical,F,M,1,1-2,No,1,26456,40.0,49,3.8918202981106265,0
Partial College,Clerical,F,M,1,1-2,No,1,46698,40.0,45,3.8066624897703196,0
Graduate Degree,Skilled Manual,F,S,0,No,No,4,122997,39.0,50,3.912023005428146,0
Graduate Degree,Skilled Manual,F,S,0,No,No,4,100319,39.0,54,3.9889840465642745,0
Graduate Degree,Skilled Manual,M,M,0,No,No,4,141747,39.0,90,4.499809670330265,0
Graduate Degree,Skilled Manual,F,S,1,No,No,4,127266,39.0,55,4.007333185232471,0
Graduate Degree,Skilled Manual,F,S,0,No,No,4,109467,39.0,56,4.02535169073515,0
Graduate Degree,Skilled Manual,M,S,1,No,No,4,135661,39.0,82,4.406719247264253,0
Graduate Degree,Skilled Manual,F,S,1,No,No,4,90816,38.0,51,3.9318256327243257,0
Graduate Degree,Skilled Manual,M,M,1,No,No,4,102519,38.0,80,4.382026634673881,0
Partial College,Manual,M,M,1,1-2,>=1,1,15619,29.0,71,4.2626798770413155,0
Bachelors ,Clerical,M,M,1,No,No,1,57927,29.0,73,4.290459441148391,0
Bachelors ,Clerical,M,S,1,No,No,1,62308,29.0,69,4.23410650459726,0
Bachelors ,Clerical,M,S,0,No,>=1,1,59688,29.0,78,4.356708826689592,0
Bachelors ,Clerical,M,S,0,No,>=1,1,57137,29.0,82,4.406719247264253,1
Graduate Degree,Clerical,F,M,1,No,No,No,78732,29.0,53,3.970291913552122,0
Graduate Degree,Clerical,M,M,1,No,No,No,66814,29.0,76,4.330733340286331,0
High School,Manual,M,S,1,1-2,>=1,3,23605,30.0,91,4.51085950651685,1
High School,Manual,F,M,0,1-2,>=1,3,17848,30.0,64,4.1588830833596715,0
Partial High School,Manual,M,S,1,No,>=1,4,21694,30.0,102,4.624972813284271,0
Partial College,Manual,M,M,1,1-2,>=1,1,27368,30.0,73,4.290459441148391,0
High School,Manual,M,S,0,1-2,>=1,1,15675,30.0,61,4.110873864173311,0
Bachelors ,Clerical,M,S,0,No,>=1,1,51056,30.0,81,4.394449154672439,0
Bachelors ,Clerical,M,M,1,No,>=1,1,84367,30.0,96,4.564348191467836,1
Bachelors ,Clerical,F,S,0,1-2,>=1,1,47235,30.0,44,3.784189633918261,0
Bachelors ,Clerical,M,S,0,1-2,>=1,1,72921,30.0,86,4.454347296253507,1
High School,Manual,M,M,1,1-2,>=1,1,16283,31.0,76,4.330733340286331,1
Bachelors ,Clerical,M,M,1,No,No,No,54533,30.0,75,4.31748811353631,0
Bachelors ,Clerical,F,M,1,No,No,No,44544,30.0,49,3.8918202981106265,0
Bachelors ,Clerical,M,M,0,No,No,No,79036,30.0,76,4.330733340286331,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,56634,31.0,58,4.060443010546419,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,63272,32.0,90,4.499809670330265,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,43470,32.0,57,4.04305126783455,0
Partial High School,Manual,F,S,1,1-2,>=1,4,13132,33.0,57,4.04305126783455,1
Partial High School,Manual,M,S,1,1-2,>=1,3,33135,33.0,79,4.3694478524670215,1
Partial High School,Manual,F,S,1,1-2,>=1,3,11995,33.0,50,3.912023005428146,0
High School,Manual,F,M,0,1-2,No,4,20851,66.0,32,3.4657359027997265,0
Partial High School,Manual,F,S,1,1-2,>=1,3,12069,33.0,53,3.970291913552122,0
High School,Manual,M,S,1,No,>=1,3,18485,33.0,91,4.51085950651685,1
Partial High School,Manual,F,S,1,1-2,>=1,3,21156,34.0,54,3.9889840465642745,0
High School,Manual,F,M,0,1-2,>=1,3,23624,34.0,69,4.23410650459726,0
High School,Manual,M,S,1,1-2,>=1,3,24379,34.0,91,4.51085950651685,1
High School,Manual,F,S,1,1-2,>=1,3,11467,34.0,61,4.110873864173311,0
High School,Manual,M,S,1,1-2,>=1,3,25539,34.0,91,4.51085950651685,1
High School,Manual,M,S,1,1-2,No,4,16941,64.0,53,3.970291913552122,0
Bachelors ,Professional,F,M,0,No,No,No,61228,31.0,46,3.828641396489095,0
Bachelors ,Professional,F,M,1,No,No,No,54471,31.0,48,3.871201010907891,0
Bachelors ,Professional,M,M,1,No,No,No,61394,31.0,79,4.3694478524670215,0
Graduate Degree,Skilled Manual,F,S,1,No,No,No,78764,31.0,47,3.8501476017100584,1
High School,Manual,M,S,1,1-2,>=1,4,15195,34.0,98,4.584967478670572,1
Partial College,Clerical,F,M,1,1-2,No,1,49666,35.0,46,3.828641396489095,0
Partial College,Clerical,M,S,1,1-2,>=1,2,45632,32.0,90,4.499809670330265,1
Partial College,Clerical,M,S,1,1-2,>=1,2,54299,33.0,94,4.543294782270004,1
Partial College,Clerical,M,M,0,1-2,>=1,2,47061,33.0,94,4.543294782270004,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,51870,33.0,51,3.9318256327243257,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,72870,33.0,84,4.430816798843313,0
Partial College,Clerical,M,S,1,>=3,>=1,2,62738,34.0,99,4.59511985013459,1
High School,Manual,M,S,0,1-2,No,No,25596,20.0,60,4.0943445622221,0
High School,Manual,F,S,1,1-2,>=1,4,18016,18.0,65,4.174387269895637,1
High School,Manual,M,S,1,1-2,>=1,4,16626,18.0,93,4.532599493153256,0
High School,Manual,M,M,0,1-2,>=1,>=5,24178,18.0,118,4.770684624465665,0
Partial College,Clerical,M,S,1,1-2,>=1,3,48259,18.0,96,4.564348191467836,1
Partial College,Clerical,F,S,1,1-2,>=1,3,44099,18.0,61,4.110873864173311,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,42856,34.0,50,3.912023005428146,0
Partial College,Clerical,F,S,1,1-2,No,1,55331,35.0,43,3.7612001156935624,0
Bachelors ,Skilled Manual,F,M,1,1-2,No,1,46838,35.0,45,3.8066624897703196,0
Bachelors ,Skilled Manual,F,M,1,1-2,No,1,45440,35.0,49,3.8918202981106265,0
Partial College,Clerical,M,S,1,1-2,>=1,4,52994,19.0,104,4.6443908991413725,1
Partial College,Clerical,F,S,1,1-2,>=1,>=5,56897,20.0,79,4.3694478524670215,1
Partial College,Clerical,M,S,0,1-2,No,No,60047,20.0,64,4.1588830833596715,0
Partial College,Clerical,F,S,0,1-2,No,No,48837,20.0,44,3.784189633918261,0
Partial College,Clerical,F,S,0,1-2,No,No,56043,20.0,44,3.784189633918261,0
Partial College,Clerical,M,M,0,1-2,No,No,47951,20.0,67,4.204692619390966,0
High School,Manual,F,M,0,1-2,No,4,10196,86.0,22,3.091042453358316,0
High School,Manual,M,S,0,1-2,No,No,18906,22.0,59,4.07753744390572,0
Partial High School,Manual,F,S,0,1-2,No,No,22248,21.0,35,3.5553480614894135,0
Partial College,Clerical,F,S,0,1-2,No,No,53604,21.0,45,3.8066624897703196,0
Partial College,Clerical,F,S,0,1-2,No,No,43093,21.0,48,3.871201010907891,0
Partial College,Clerical,F,S,0,1-2,No,No,48322,21.0,42,3.7376696182833684,0
Partial High School,Manual,F,S,0,1-2,No,No,31840,22.0,38,3.6375861597263857,1
Partial High School,Manual,F,S,0,1-2,No,No,19439,22.0,45,3.8066624897703196,0
Partial High School,Manual,M,S,1,1-2,No,No,32831,23.0,68,4.219507705176107,0
Partial High School,Manual,F,S,0,1-2,No,No,15098,23.0,36,3.58351893845611,0
Partial High School,Manual,F,S,0,1-2,No,No,18080,23.0,40,3.6888794541139363,0
Partial High School,Manual,M,S,1,1-2,No,No,21912,23.0,60,4.0943445622221,0
Partial College,Clerical,M,S,1,1-2,No,No,44264,22.0,64,4.1588830833596715,0
Partial College,Clerical,F,S,1,1-2,No,No,48304,22.0,47,3.8501476017100584,0
Bachelors ,Skilled Manual,M,M,1,No,>=1,1,71043,22.0,89,4.48863636973214,0
High School,Manual,F,M,0,1-2,No,4,15756,84.0,25,3.2188758248682006,0
Partial High School,Manual,F,S,0,1-2,No,No,29322,23.0,39,3.6635616461296463,0
Partial High School,Manual,F,S,0,1-2,No,No,26354,24.0,44,3.784189633918261,1
Partial High School,Manual,M,M,0,1-2,No,No,16454,24.0,61,4.110873864173311,0
Partial High School,Manual,M,S,0,1-2,No,No,18709,24.0,61,4.110873864173311,0
Partial High School,Clerical,F,S,0,1-2,No,No,33538,20.0,43,3.7612001156935624,1
Partial College,Skilled Manual,M,S,0,1-2,No,No,79586,20.0,71,4.2626798770413155,1
Partial College,Skilled Manual,F,S,1,1-2,No,No,71121,21.0,49,3.8918202981106265,0
Partial High School,Clerical,F,S,1,1-2,>=1,2,23524,48.0,47,3.8501476017100584,0
Partial College,Clerical,F,M,0,1-2,No,3,49168,47.0,51,3.9318256327243257,0
Bachelors ,Management,M,M,1,1-2,No,2,65735,47.0,72,4.276666119016055,0
Partial College,Clerical,M,M,0,1-2,No,2,50643,47.0,66,4.189654742026425,0
Partial High School,Clerical,M,S,1,1-2,No,No,45318,17.0,63,4.143134726391533,1
High School,Skilled Manual,F,M,0,1-2,No,3,40852,46.0,40,3.6888794541139363,0
High School,Skilled Manual,F,S,1,1-2,No,3,43417,46.0,43,3.7612001156935624,0
High School,Skilled Manual,M,M,1,1-2,No,3,47380,46.0,63,4.143134726391533,0
Partial College,Skilled Manual,F,M,1,1-2,No,No,67325,17.0,47,3.8501476017100584,0
Partial College,Clerical,M,M,0,1-2,No,2,62367,45.0,74,4.30406509320417,0
Partial College,Skilled Manual,F,M,1,1-2,No,3,49976,44.0,49,3.8918202981106265,0
Partial College,Skilled Manual,F,S,0,1-2,No,2,92586,43.0,47,3.8501476017100584,0
Partial College,Skilled Manual,F,S,0,1-2,No,2,90839,43.0,50,3.912023005428146,0
Partial College,Skilled Manual,F,S,1,1-2,No,No,44965,22.0,37,3.6109179126442243,0
Partial College,Skilled Manual,M,S,1,1-2,No,No,59540,22.0,67,4.204692619390966,0
High School,Skilled Manual,F,S,1,1-2,No,No,49901,22.0,46,3.828641396489095,0
High School,Skilled Manual,F,S,0,1-2,No,No,54883,22.0,42,3.7376696182833684,0
High School,Skilled Manual,F,S,1,1-2,No,No,44644,22.0,41,3.713572066704308,0
High School,Skilled Manual,M,S,1,1-2,No,No,53577,22.0,68,4.219507705176107,1
Partial College,Skilled Manual,M,M,1,1-2,No,No,97410,22.0,77,4.343805421853684,0
High School,Skilled Manual,M,S,0,1-2,No,No,48806,23.0,67,4.204692619390966,0
High School,Skilled Manual,F,S,1,1-2,No,No,47284,23.0,39,3.6635616461296463,1
Partial College,Skilled Manual,F,M,1,1-2,No,No,84782,24.0,51,3.9318256327243257,0
Bachelors ,Clerical,F,M,1,1-2,No,2,35209,58.0,41,3.713572066704308,0
Bachelors ,Clerical,M,M,1,1-2,No,2,38460,58.0,57,4.04305126783455,0
Bachelors ,Clerical,F,M,1,No,No,1,38727,56.0,39,3.6635616461296463,0
Bachelors ,Clerical,M,M,1,No,No,1,50593,55.0,69,4.23410650459726,0
Graduate Degree,Clerical,M,S,1,No,No,1,88644,55.0,64,4.1588830833596715,0
Partial College,Manual,M,S,1,1-2,No,3,16260,54.0,51,3.9318256327243257,0
Partial College,Manual,M,M,0,1-2,No,No,22739,17.0,55,4.007333185232471,0
Bachelors ,Clerical,M,M,1,No,No,No,25775,17.0,63,4.143134726391533,0
High School,Manual,F,M,1,No,>=1,1,10888,21.0,51,3.9318256327243257,0
High School,Manual,F,S,0,No,>=1,1,16916,21.0,41,3.713572066704308,0
High School,Manual,F,S,0,No,>=1,1,19417,21.0,46,3.828641396489095,0
High School,Manual,F,M,1,No,>=1,1,15242,21.0,43,3.7612001156935624,1
High School,Manual,F,S,0,No,>=1,1,23777,18.0,47,3.8501476017100584,0
High School,Manual,F,M,1,No,>=1,1,23933,18.0,53,3.970291913552122,0
Bachelors ,Clerical,F,M,1,No,No,No,17500,18.0,46,3.828641396489095,0
Bachelors ,Clerical,M,M,1,No,No,No,48089,18.0,66,4.189654742026425,0
Bachelors ,Clerical,F,M,0,No,No,No,27891,19.0,45,3.8066624897703196,0
Bachelors ,Clerical,M,S,1,No,No,No,37487,19.0,62,4.127134385045092,0
Bachelors ,Clerical,M,S,1,No,No,No,37400,19.0,61,4.110873864173311,0
Bachelors ,Clerical,F,S,1,No,No,No,33226,19.0,40,3.6888794541139363,1
Bachelors ,Clerical,M,M,1,No,No,No,59104,20.0,71,4.2626798770413155,0
Bachelors ,Clerical,F,M,1,No,No,1,61826,54.0,47,3.8501476017100584,0
Bachelors ,Clerical,F,S,1,No,No,1,54295,54.0,42,3.7376696182833684,1
Partial College,Manual,M,S,0,No,>=1,1,18002,36.0,65,4.174387269895637,1
Partial College,Manual,F,M,1,No,>=1,1,12099,36.0,47,3.8501476017100584,0
Graduate Degree,Clerical,F,M,1,No,No,4,61398,36.0,51,3.9318256327243257,0
High School,Manual,M,S,0,1-2,>=1,1,27921,37.0,73,4.290459441148391,0
High School,Manual,F,S,0,1-2,>=1,1,21379,37.0,45,3.8066624897703196,0
Partial College,Manual,M,S,0,No,>=1,1,19588,37.0,72,4.276666119016055,1
Partial College,Manual,F,S,0,No,>=1,1,14926,37.0,47,3.8501476017100584,0
Partial College,Manual,F,S,0,No,>=1,1,13180,37.0,46,3.828641396489095,0
Partial College,Manual,M,M,1,No,>=1,1,30362,37.0,76,4.330733340286331,1
Partial College,Manual,M,S,0,No,>=1,1,33055,37.0,74,4.30406509320417,0
Partial College,Manual,M,M,1,No,>=1,1,20933,37.0,75,4.31748811353631,0
Partial College,Manual,F,M,1,No,>=1,1,26395,37.0,49,3.8918202981106265,0
High School,Manual,F,M,1,1-2,>=1,1,23323,38.0,52,3.9512437185814275,0
Partial College,Manual,M,M,1,1-2,No,2,27445,38.0,69,4.23410650459726,0
Partial College,Manual,M,M,1,1-2,No,2,16369,39.0,63,4.143134726391533,0
Bachelors ,Clerical,M,M,1,No,No,3,69860,37.0,79,4.3694478524670215,1
Bachelors ,Clerical,F,S,1,No,No,3,49481,38.0,50,3.912023005428146,0
Bachelors ,Clerical,M,M,1,No,No,No,55295,38.0,72,4.276666119016055,0
Bachelors ,Clerical,F,S,1,No,No,No,53382,38.0,43,3.7612001156935624,1
Bachelors ,Clerical,M,M,1,No,No,No,60102,38.0,77,4.343805421853684,0
Graduate Degree,Clerical,F,M,1,No,No,3,65525,38.0,54,3.9889840465642745,0
Bachelors ,Clerical,F,S,1,No,No,1,49567,39.0,42,3.7376696182833684,0
High School,Manual,M,M,1,1-2,>=1,1,21224,27.0,80,4.382026634673881,0
Partial College,Manual,F,S,0,1-2,No,No,28554,27.0,40,3.6888794541139363,0
Partial College,Manual,M,S,1,1-2,No,No,21886,27.0,59,4.07753744390572,0
Partial College,Manual,M,S,0,1-2,No,No,21256,27.0,61,4.110873864173311,0
Bachelors ,Clerical,M,S,1,No,No,No,82158,27.0,73,4.290459441148391,1
Bachelors ,Clerical,M,M,1,No,No,No,62003,27.0,78,4.356708826689592,0
Partial College,Manual,F,S,1,1-2,No,No,28111,28.0,44,3.784189633918261,0
Graduate Degree,Clerical,M,M,1,No,No,No,82192,28.0,80,4.382026634673881,0
Graduate Degree,Clerical,F,S,1,No,No,No,56615,28.0,51,3.9318256327243257,0
Graduate Degree,Skilled Manual,M,S,1,No,No,No,68077,28.0,68,4.219507705176107,1
Graduate Degree,Clerical,F,M,1,No,No,1,60432,75.0,41,3.713572066704308,0
Partial College,Manual,F,S,1,1-2,No,3,21058,45.0,45,3.8066624897703196,0
Partial College,Manual,F,M,1,1-2,No,2,27920,45.0,41,3.713572066704308,0
Partial College,Manual,F,M,1,1-2,No,2,23909,46.0,41,3.713572066704308,0
Partial College,Manual,M,S,0,No,>=1,1,11846,29.0,67,4.204692619390966,0
Graduate Degree,Management,F,S,0,1-2,>=1,4,150352,53.0,89,4.48863636973214,0
Partial College,Professional,M,S,1,1-2,No,>=5,118135,51.0,76,4.330733340286331,0
Partial College,Professional,F,S,0,1-2,No,>=5,97143,51.0,43,3.7612001156935624,1
Bachelors ,Management,F,S,1,>=3,>=1,3,103496,51.0,79,4.3694478524670215,0
High School,Professional,M,M,1,1-2,>=1,4,101799,44.0,123,4.812184355372417,1
High School,Professional,F,M,0,1-2,>=1,4,80307,43.0,84,4.430816798843313,0
High School,Professional,M,M,1,>=3,>=1,4,112196,43.0,143,4.962844630259907,0
Bachelors ,Management,M,M,1,1-2,>=1,>=5,158042,44.0,167,5.117993812416755,0
Partial College,Professional,M,M,1,1-2,>=1,>=5,164262,44.0,169,5.1298987149230735,1
Partial College,Professional,M,M,1,1-2,>=1,>=5,159044,44.0,167,5.117993812416755,1
Bachelors ,Management,M,M,1,>=3,>=1,>=5,166662,44.0,168,5.123963979403259,0
Bachelors ,Management,M,M,1,>=3,>=1,4,168262,44.0,154,5.0369526024136295,0
Partial College,Professional,F,M,1,1-2,>=1,4,84075,45.0,62,4.127134385045092,0
Partial College,Professional,F,M,0,>=3,>=1,>=5,134678,45.0,103,4.634728988229636,1
Bachelors ,Management,M,M,0,>=3,>=1,>=5,169262,45.0,168,5.123963979403259,1
Bachelors ,Management,M,M,1,>=3,>=1,>=5,168242,45.0,168,5.123963979403259,1
Partial High School,Skilled Manual,F,S,1,1-2,>=1,>=5,56860,46.0,57,4.04305126783455,1
Partial College,Professional,F,S,1,>=3,>=1,4,97953,46.0,79,4.3694478524670215,1
High School,Professional,F,S,0,>=3,>=1,>=5,131017,46.0,97,4.574710978503383,1
Bachelors ,Management,M,M,1,>=3,>=1,>=5,166768,47.0,166,5.111987788356544,1
High School,Management,F,S,1,>=3,>=1,4,108936,49.0,56,4.02535169073515,0
High School,Management,F,S,0,>=3,>=1,>=5,114905,49.0,91,4.51085950651685,1
High School,Management,F,M,1,>=3,>=1,>=5,132087,49.0,106,4.663439094112067,0
Partial High School,Professional,F,M,1,>=3,>=1,>=5,117582,50.0,99,4.59511985013459,1
High School,Management,M,M,0,>=3,>=1,>=5,159159,50.0,160,5.075173815233827,1
Bachelors ,Professional,F,M,1,>=3,No,No,86389,22.0,57,4.04305126783455,0
Bachelors ,Professional,M,S,1,>=3,No,No,104798,21.0,68,4.219507705176107,0
Bachelors ,Professional,M,M,1,>=3,No,No,101116,22.0,82,4.406719247264253,0
Bachelors ,Professional,M,S,1,>=3,No,No,107684,22.0,74,4.30406509320417,1
Bachelors ,Professional,M,S,0,>=3,No,No,88169,23.0,69,4.23410650459726,0
Bachelors ,Professional,F,M,0,>=3,No,No,85140,23.0,49,3.8918202981106265,0
Bachelors ,Professional,M,S,0,>=3,No,No,135217,22.0,78,4.356708826689592,1
Bachelors ,Professional,F,S,0,1-2,No,No,117317,22.0,53,3.970291913552122,0
Bachelors ,Professional,F,M,1,>=3,No,No,86739,23.0,55,4.007333185232471,1
Bachelors ,Professional,F,M,1,>=3,No,No,109807,24.0,55,4.007333185232471,0
Bachelors ,Professional,F,S,0,>=3,No,No,105363,24.0,52,3.9512437185814275,0
Bachelors ,Professional,M,S,0,1-2,No,No,131136,23.0,79,4.3694478524670215,1
High School,Management,M,M,1,1-2,>=1,>=5,113343,23.0,159,5.0689042022202315,1
Partial High School,Professional,F,M,0,>=3,>=1,>=5,117946,23.0,107,4.672828834461906,1
Bachelors ,Professional,M,M,1,>=3,No,No,132025,24.0,83,4.418840607796598,1
High School,Management,F,M,0,1-2,>=1,>=5,93115,24.0,99,4.59511985013459,1
High School,Management,M,S,1,1-2,>=1,>=5,125192,24.0,144,4.969813299576001,1
Bachelors ,Professional,M,S,1,>=3,>=1,>=5,173481,24.0,158,5.062595033026967,1
Bachelors ,Professional,M,S,0,>=3,No,No,145939,25.0,79,4.3694478524670215,0
High School,Management,M,M,0,1-2,>=1,>=5,111009,25.0,161,5.081404364984463,1
High School,Management,M,S,1,>=3,>=1,>=5,117509,25.0,150,5.0106352940962555,1
Bachelors ,Professional,F,M,1,>=3,No,No,110807,26.0,56,4.02535169073515,0
Bachelors ,Professional,M,S,0,>=3,No,No,126067,26.0,73,4.290459441148391,1
High School,Management,F,S,1,>=3,>=1,>=5,141290,25.0,96,4.564348191467836,1
High School,Management,M,M,1,>=3,>=1,>=5,151654,25.0,169,5.1298987149230735,1
Bachelors ,Professional,F,S,1,>=3,No,No,117825,26.0,48,3.871201010907891,0
High School,Management,M,S,1,>=3,>=1,>=5,128799,26.0,149,5.003946305945459,1
High School,Management,F,M,1,>=3,>=1,>=5,91272,26.0,101,4.61512051684126,1
Bachelors ,Professional,F,M,1,>=3,No,No,108120,27.0,57,4.04305126783455,0
Partial High School,Professional,M,M,1,>=3,>=1,>=5,113282,27.0,161,5.081404364984463,1
High School,Management,M,M,1,>=3,>=1,>=5,153494,26.0,165,5.10594547390058,1
Partial High School,Professional,M,M,1,>=3,>=1,>=5,136220,26.0,166,5.111987788356544,0
Partial High School,Professional,F,S,1,>=3,>=1,>=5,139064,26.0,102,4.624972813284271,1
Partial High School,Management,M,M,0,>=3,>=1,>=5,161625,26.0,171,5.14166355650266,1
Bachelors ,Management,F,S,1,1-2,No,>=5,64296,56.0,48,3.871201010907891,0
Bachelors ,Management,M,S,0,>=3,>=1,3,151620,56.0,114,4.736198448394496,1
Graduate Degree,Management,M,S,0,>=3,>=1,2,180308,56.0,101,4.61512051684126,0
Graduate Degree,Management,M,M,1,1-2,>=1,3,177525,56.0,122,4.804021044733257,1
Bachelors ,Management,F,M,1,1-2,No,>=5,116831,55.0,52,3.9512437185814275,0
Graduate Degree,Management,M,M,1,>=3,>=1,3,141215,55.0,124,4.820281565605037,0
Graduate Degree,Management,F,M,1,>=3,>=1,4,166125,55.0,92,4.5217885770490405,1
Bachelors ,Management,F,M,1,>=3,>=1,3,144108,55.0,80,4.382026634673881,1
Bachelors ,Management,F,M,1,>=3,>=1,4,129460,54.0,90,4.499809670330265,0
Graduate Degree,Management,F,M,1,>=3,>=1,4,155748,54.0,91,4.51085950651685,1
Bachelors ,Management,F,M,1,>=3,>=1,4,133253,54.0,88,4.477336814478207,0
Partial College,Skilled Manual,F,M,1,1-2,No,No,69500,24.0,54,3.9889840465642745,0
Partial College,Professional,F,M,1,1-2,No,No,79137,24.0,54,3.9889840465642745,0
Partial College,Professional,F,M,1,1-2,No,No,75976,24.0,52,3.9512437185814275,0
Partial College,Professional,F,M,1,1-2,No,No,78787,21.0,53,3.970291913552122,0
High School,Skilled Manual,M,M,0,1-2,No,2,111775,42.0,83,4.418840607796598,1
High School,Skilled Manual,F,S,1,1-2,No,2,97474,42.0,55,4.007333185232471,0
High School,Skilled Manual,F,S,1,1-2,No,2,101277,42.0,50,3.912023005428146,1
High School,Skilled Manual,M,S,0,1-2,No,2,94379,41.0,78,4.356708826689592,0
High School,Skilled Manual,M,S,1,1-2,No,2,89174,41.0,78,4.356708826689592,0
High School,Professional,F,S,0,1-2,No,2,71047,40.0,48,3.871201010907891,0
High School,Professional,F,S,0,1-2,No,2,84581,40.0,47,3.8501476017100584,1
Graduate Degree,Management,F,M,1,1-2,>=1,1,149505,39.0,70,4.248495242049359,0
Graduate Degree,Management,F,S,0,1-2,>=1,1,148273,39.0,61,4.110873864173311,1
Bachelors ,Management,F,S,0,1-2,No,No,105698,24.0,50,3.912023005428146,0
High School,Professional,F,S,1,1-2,No,No,38715,23.0,45,3.8066624897703196,0
High School,Professional,M,S,0,1-2,No,No,55825,23.0,71,4.2626798770413155,1
Partial College,Professional,M,S,1,1-2,No,No,106375,23.0,74,4.30406509320417,0
Partial College,Professional,F,S,1,1-2,No,No,72940,23.0,47,3.8501476017100584,1
Partial College,Professional,M,S,0,1-2,No,No,94603,23.0,75,4.31748811353631,1
Graduate Degree,Management,M,M,1,>=3,>=1,1,179253,38.0,102,4.624972813284271,1
Graduate Degree,Management,F,S,0,>=3,No,No,154433,38.0,57,4.04305126783455,0
Graduate Degree,Management,F,M,1,>=3,>=1,1,151273,31.0,67,4.204692619390966,1
Graduate Degree,Management,M,M,1,>=3,>=1,1,182120,31.0,112,4.718498871295094,1
Bachelors ,Professional,M,M,0,1-2,No,No,96260,34.0,78,4.356708826689592,0
Bachelors ,Professional,M,S,1,>=3,>=1,>=5,117210,30.0,150,5.0106352940962555,1
Bachelors ,Professional,F,M,1,No,>=1,4,94730,30.0,90,4.499809670330265,0
Bachelors ,Professional,F,M,1,No,>=1,4,101155,30.0,91,4.51085950651685,1
Bachelors ,Professional,M,M,1,1-2,No,1,94800,35.0,83,4.418840607796598,1
Bachelors ,Professional,F,S,1,1-2,No,1,82261,35.0,53,3.970291913552122,0
Partial College,Skilled Manual,M,S,0,1-2,No,1,87562,36.0,70,4.248495242049359,1
Partial College,Skilled Manual,F,S,0,1-2,No,1,57988,36.0,44,3.784189633918261,0
Graduate Degree,Management,F,S,0,1-2,No,No,159471,31.0,58,4.060443010546419,0
Partial College,Skilled Manual,M,M,1,1-2,No,1,101889,37.0,84,4.430816798843313,0
Partial College,Skilled Manual,M,M,1,1-2,No,1,79285,37.0,81,4.394449154672439,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,82930,37.0,57,4.04305126783455,0
Bachelors ,Professional,F,S,0,1-2,No,No,79417,32.0,49,3.8918202981106265,0
Bachelors ,Professional,M,S,1,>=3,>=1,>=5,124337,32.0,148,4.997212273764115,1
Bachelors ,Professional,F,S,0,1-2,No,No,93183,33.0,49,3.8918202981106265,1
Bachelors ,Professional,M,M,1,1-2,No,>=5,120763,38.0,81,4.394449154672439,1
Bachelors ,Professional,M,S,0,1-2,No,No,109416,34.0,78,4.356708826689592,1
Bachelors ,Professional,F,S,0,1-2,No,No,76305,34.0,43,3.7612001156935624,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,73999,35.0,51,3.9318256327243257,0
Partial College,Skilled Manual,F,M,1,1-2,No,1,85760,35.0,51,3.9318256327243257,0
Partial College,Skilled Manual,F,M,1,1-2,>=1,>=5,70264,36.0,82,4.406719247264253,0
Bachelors ,Professional,F,M,0,1-2,>=1,>=5,103609,39.0,92,4.5217885770490405,0
Bachelors ,Professional,F,M,1,1-2,>=1,>=5,109553,39.0,88,4.477336814478207,1
Bachelors ,Professional,M,S,1,1-2,No,2,137949,39.0,83,4.418840607796598,0
Bachelors ,Management,F,S,0,1-2,No,2,102115,39.0,52,3.9512437185814275,1
Partial College,Clerical,M,M,0,1-2,No,2,61276,61.0,65,4.174387269895637,0
Partial College,Skilled Manual,F,M,1,>=3,>=1,>=5,50583,37.0,76,4.330733340286331,1
Partial College,Skilled Manual,M,M,1,>=3,>=1,>=5,99994,37.0,142,4.955827057601261,1
Partial College,Skilled Manual,F,S,0,1-2,No,1,82193,41.0,55,4.007333185232471,0
Bachelors ,Management,M,M,1,1-2,No,2,81307,44.0,81,4.394449154672439,0
High School,Skilled Manual,M,M,1,1-2,No,No,47522,21.0,65,4.174387269895637,0
High School,Skilled Manual,F,M,1,1-2,No,No,29357,21.0,42,3.7376696182833684,0
High School,Skilled Manual,M,S,0,1-2,No,No,49662,21.0,64,4.1588830833596715,0
High School,Skilled Manual,F,M,1,1-2,No,No,43452,22.0,47,3.8501476017100584,0
High School,Skilled Manual,M,S,1,1-2,No,No,45519,22.0,65,4.174387269895637,0
High School,Skilled Manual,M,S,1,1-2,No,No,41834,22.0,63,4.143134726391533,0
High School,Skilled Manual,F,S,1,1-2,No,No,52144,17.0,42,3.7376696182833684,0
High School,Skilled Manual,M,M,0,1-2,No,No,45617,17.0,70,4.248495242049359,0
High School,Skilled Manual,M,S,1,1-2,No,No,50323,17.0,65,4.174387269895637,1
High School,Skilled Manual,F,M,1,1-2,No,No,62779,17.0,50,3.912023005428146,0
High School,Skilled Manual,M,M,1,1-2,No,No,60665,17.0,67,4.204692619390966,0
